-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 06/01/2023 through 10/31/2023 in LST
Location: latitude  12.7261   longitude 80.2441 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 30.77 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,DOY,T2M,RH2M,PRECTOTCORR
2023,152,31.86,66.54,0.36
2023,153,32.54,61.58,0.18
2023,154,32.42,60.97,0.08
2023,155,32.37,62.55,0.08
2023,156,30.37,70.04,4.08
2023,157,30.68,66.11,2.43
2023,158,28.2,80.23,4.54
2023,159,29.42,75.07,0.39
2023,160,29.65,74.42,4.35
2023,161,31.02,68.2,4.12
2023,162,30.99,63.45,0.01
2023,163,31.33,67.57,2.78
2023,164,31.13,67.51,1.92
2023,165,29.76,75.05,3.81
2023,166,30.59,68.98,0.93
2023,167,31.73,67.39,1.96
2023,168,28.4,79.81,13.42
2023,169,27.96,80.97,36.92
2023,170,29.3,77.16,16.92
2023,171,29.46,78.47,13.79
2023,172,28.47,78.32,2.49
2023,173,28.98,81.23,6.11
2023,174,29.42,78.39,5.56
2023,175,29.41,74.19,3.31
2023,176,28.22,81.27,11.68
2023,177,29.47,72.6,0.47
2023,178,29.98,69.82,0.24
2023,179,29.48,69.07,0.11
2023,180,30.1,70.33,0.63
2023,181,30.55,68.58,0.31
2023,182,29.97,70.46,7.85
2023,183,27.57,80.01,9.49
2023,184,28.39,80.21,7.15
2023,185,28.57,79.34,3.52
2023,186,29.22,70.28,1.19
2023,187,29.36,70.09,0.12
2023,188,29.27,69.52,0.24
2023,189,29.7,70.88,2.88
2023,190,29.43,73.46,6.59
2023,191,28.45,81.08,12.19
2023,192,28.64,80.39,6.73
2023,193,28.74,77.5,14.11
2023,194,28.95,74.15,8.9
2023,195,29.56,75.24,0.5
2023,196,29.41,73.19,0.31
2023,197,29.46,75.53,0.38
2023,198,29.8,75.11,0.31
2023,199,29.83,71.51,0.14
2023,200,30.23,66.69,0.29
2023,201,30.02,66.02,0.03
2023,202,29.9,68.22,0.98
2023,203,29.9,69.29,4.13
2023,204,29.18,72.99,2.38
2023,205,27.99,79.73,5.2
2023,206,27.37,80.51,6.33
2023,207,29.21,73.3,4.46
2023,208,29.34,68.44,0.01
2023,209,30.23,66.98,0.07
2023,210,31.04,63.82,0.36
2023,211,31.08,65.63,0.53
2023,212,30.51,70.35,0.45
2023,213,31.19,67.48,0.19
2023,214,30.64,64.6,0.05
2023,215,30.66,68.6,0.26
2023,216,30.61,68.47,0.63
2023,217,30.89,67.54,0.19
2023,218,30.82,69.36,0.4
2023,219,30.44,69.94,1.03
2023,220,30.16,70.95,0.51
2023,221,29.77,74.33,3.05
2023,222,28.9,77.42,8.11
2023,223,29.19,74.53,5.55
2023,224,29.87,75.26,6.69
2023,225,29.79,74.96,10.24
2023,226,29.17,78.0,15.84
2023,227,29.08,76.64,6.43
2023,228,29.44,74.99,3.76
2023,229,29.19,78.86,14.21
2023,230,30.28,72.6,3.1
2023,231,29.8,70.7,3.52
2023,232,29.99,71.41,1.47
2023,233,29.76,75.42,2.74
2023,234,29.17,79.42,9.16
2023,235,28.97,80.45,11.65
2023,236,28.48,81.74,11.46
2023,237,28.55,82.12,0.87
2023,238,28.99,79.17,2.87
2023,239,28.76,81.16,11.56
2023,240,28.96,78.63,3.47
2023,241,27.87,83.51,9.02
2023,242,28.72,81.22,11.19
2023,243,27.82,86.7,6.72
2023,244,28.65,80.62,3.38
2023,245,28.65,82.16,4.78
2023,246,28.02,82.41,18.42
2023,247,28.14,78.3,1.91
2023,248,28.51,75.39,4.82
2023,249,28.31,79.85,8.81
2023,250,28.34,77.8,13.32
2023,251,28.6,75.8,1.51
2023,252,28.31,78.61,0.32
2023,253,27.55,82.39,2.52
2023,254,28.75,77.26,1.86
2023,255,28.94,77.0,5.2
2023,256,28.73,79.79,8.38
2023,257,28.92,77.98,5.73
2023,258,28.68,76.4,2.76
2023,259,27.78,82.4,21.46
2023,260,28.31,82.5,7.25
2023,261,28.09,83.19,6.82
2023,262,27.74,85.11,5.35
2023,263,27.45,84.35,3.55
2023,264,27.43,82.7,4.41
2023,265,28.56,81.52,1.03
2023,266,28.9,82.97,3.68
2023,267,28.63,83.26,8.38
2023,268,26.93,87.67,12.37
2023,269,27.54,86.07,9.04
2023,270,27.67,83.31,4.96
2023,271,28.31,81.17,7.75
2023,272,28.05,82.26,4.92
2023,273,28.24,77.54,7.66
2023,274,28.22,80.95,2.41
2023,275,28.41,80.1,0.43
2023,276,28.74,78.26,0.44
2023,277,28.97,79.97,3.38
2023,278,28.94,80.64,2.78
2023,279,28.49,82.27,2.63
2023,280,28.69,83.21,1.24
2023,281,28.2,86.61,1.09
2023,282,28.33,84.86,0.78
2023,283,28.24,85.61,3.68
2023,284,28.52,82.18,2.17
2023,285,28.12,80.08,0.23
2023,286,27.41,79.99,1.09
2023,287,27.67,81.21,5.34
2023,288,27.52,82.19,1.12
2023,289,27.8,82.01,1.74
2023,290,28.0,80.15,0.87
2023,291,27.96,75.06,0.04
2023,292,27.94,74.98,0.02
2023,293,27.85,75.33,0.06
2023,294,27.94,80.22,5.63
2023,295,28.15,78.78,1.18
2023,296,27.98,67.71,0.16
2023,297,27.86,71.86,0.02
2023,298,28.14,71.69,0.17
2023,299,27.83,74.24,0.03
2023,300,27.9,77.47,0.09
2023,301,28.3,76.66,1.01
2023,302,27.58,82.26,7.34
2023,303,26.75,84.22,8.59
2023,304,27.84,79.21,1.7
